Sample Index	Study Bird #	Legband #	Sex	Date sample collected	Study ID	Time point (hr)	Meloxicam Dose (mg/kg)	Actual Dose Given (mg/kg)	DBS (1 spot x 25 uL) Y/N?	Blood Sample Source	Storage (°C)	Shipment Date	DBS Card#	CHT#	[DBS] (ug/mL)	Batch#	Date	CHT Comments                            (Assay Range: 0.25-50 ug/mL)	Notes
51	37	Gray54	F	10/26/2024	A	1	13	12.59	Y	jugular	-80	12/10/2024	11	MELX_092	45.1	SA2	1/24/2025		
52	38	LR21-64	F	10/26/2024	A	1	13	13.23	Y	jugular	-80	12/10/2024	11	MELX_093	42.7	SA2	1/24/2025		
53	39	Light Green11	F	10/26/2024	A	1	13	12.52	Y	jugular	-80	12/10/2024	11	MELX_094	43.2	SA2	1/24/2025		
54	40	Pink65	F	10/26/2024	A	1	13	12.61	Y	jugular	-80	12/10/2024	11	MELX_095	40.0	SA2	1/24/2025		
55	40A	Pink63	F	10/26/2024	A	1	13	13.32	Y	jugular	-80	12/10/2024	11	MELX_096	28.3	SA2	1/24/2025		
56	37	Gray54	F	10/26/2024	A	8	13	12.59	Y	jugular	-80	12/10/2024	12	MELX_097	9.48	SA2	1/24/2025		
57	38	LR21-64	F	10/26/2024	A	8	13	13.23	Y	jugular	-80	12/10/2024	12	MELX_098	31.0	SA2	1/24/2025		
58	39	Light Green11	F	10/26/2024	A	8	13	12.52	Y	jugular	-80	12/10/2024	12	MELX_099	17.1	SA2	1/24/2025		
59	40	Pink65	F	10/26/2024	A	8	13	12.61	Y	jugular	-80	12/10/2024	12	MELX_100	15.6	SA2	1/24/2025		
60	40A	Pink63	F	10/26/2024	A	8	13	13.32	Y	jugular	-80	12/10/2024	12	MELX_101	12.3	SA2	1/24/2025		
61	33	Orange47	M	10/27/2024	A	1	13	13.16	Y	jugular	-80	12/10/2024	13	MELX_102	54.5	SA2	1/24/2025		
62	34	Pink18	M	10/27/2024	A	1	13	12.76	Y	jugular	-80	12/10/2024	13	MELX_103	45.5	SA2	1/24/2025		
63	35	Tan198	M	10/27/2024	A	1	13	12.53	Y	jugular	-80	12/10/2024	13	MELX_104	46.2	SA2	1/24/2025		
64	36	Orange57	M	10/27/2024	A	1	13	13.53	Y	jugular	-80	12/10/2024	13	MELX_105	47.7	SA2	1/24/2025		** a duplicate blood sample included on another DBS card (see below)
67	36A	Yellow26	M	10/27/2024	A	1	13	13.34	Y	jugular	-80	12/10/2024	14	MELX_108	48.6	SA2	1/24/2025		*duplicate
68	33	Orange47	M	10/27/2024	A	8	13	13.16	Y	jugular	-80	12/10/2024	15	MELX_109	16.5	SA2	1/24/2025		
69	34	Pink18	M	10/27/2024	A	8	13	12.76	Y	jugular	-80	12/10/2024	15	MELX_110	25.9	SA2	1/24/2025		
70	35	Tan198	M	10/27/2024	A	8	13	12.53	Y	jugular	-80	12/10/2024	15	MELX_111	17.0	SA2	1/24/2025		
71	36	Orange57	M	10/27/2024	A	8	13	13.53	Y	jugular	-80	12/10/2024	15	MELX_112	12.7	SA2	1/24/2025		** a duplicate blood sample included on another DBS card (see below)
72	36A	Yellow26	M	10/27/2024	A	8	13	13.34	Y	jugular	-80	12/10/2024	15	MELX_113	17.3	SA2	1/24/2025		
85	29	Gray79	F	11/19/2024	C	0.5	13	12.6	Y	jugular	-80	12/10/2024	20	MELX_126	44.7	SA2	1/24/2025		
86	30	Pink94	F	11/19/2024	C	0.5	13	12.68	Y	jugular	-80	12/10/2024	20	MELX_127	47.0	SA2	1/24/2025		
87	31	Tan192	F	11/19/2024	C	0.5	13	12.93	Y	jugular	-80	12/10/2024	20	MELX_128	41.9	SA2	1/24/2025		
88	32	Pink43	F	11/19/2024	C	0.5	13	12.58	Y	jugular	-80	12/10/2024	20	MELX_129	31.4	SA2	1/24/2025		
89	32A	Gray41	F	11/19/2024	C	0.5	13	12.94	Y	jugular	-80	12/10/2024	20	MELX_130	39.6	SA2	1/24/2025		
90	29	Gray79	F	11/19/2024	C	4	13	12.6	Y	jugular	-80	12/10/2024	21	MELX_131	44.5	SA2	1/24/2025		
91	30	Pink94	F	11/19/2024	C	4	13	12.68	Y	jugular	-80	12/10/2024	21	MELX_132	26.1	SA2	1/24/2025		
92	31	Tan192	F	11/19/2024	C	4	13	12.93	Y	jugular	-80	12/10/2024	21	MELX_133	29.0	SA2	1/24/2025		
93	32	Pink43	F	11/19/2024	C	4	13	12.58	Y	jugular	-80	12/10/2024	21	MELX_134	26.2	SA2	1/24/2025		
94	32A	Gray41	F	11/19/2024	C	4	13	12.94	Y	jugular	-80	12/10/2024	21	MELX_135	36.4	SA2	1/24/2025		
97	25	Yellow96	M	11/21/2024	C	0.5	13	12.45	Y	jugular	-80	12/10/2024	24	MELX_138	39.0	SA2	1/24/2025		
98	26	Pink5	M	11/21/2024	C	0.5	13	13.37	Y	jugular	-80	12/10/2024	24	MELX_139	61.7	SA2	1/24/2025		
99	27	Tan123	M	11/21/2024	C	0.5	13	13.15	Y	jugular	-80	12/10/2024	24	MELX_140	43.4	SA2	1/24/2025		
100	28	Yellow27	M	11/21/2024	C	0.5	13	13.67	Y	jugular	-80	12/10/2024	24	MELX_141	42.6	SA2	1/24/2025		
101	28A	Green85	M	11/21/2024	C	0.5	13	13.25	Y	jugular	-80	12/10/2024	24	MELX_142	36.8	SA2	1/24/2025		
102	25	Yellow96	M	11/21/2024	C	4	13	12.45	Y	jugular	-80	12/10/2024	25	MELX_143	36.5	SA2	1/24/2025		
103	26	Pink5	M	11/21/2024	C	4	13	13.37	Y	jugular	-80	12/10/2024	25	MELX_144	42.4	SA2	1/24/2025		
104	27	Tan123	M	11/21/2024	C	4	13	13.15	Y	jugular	-80	12/10/2024	25	MELX_145	31.4	SA2	1/24/2025		
105	28	Yellow27	M	11/21/2024	C	4	13	13.67	Y	jugular	-80	12/10/2024	25	MELX_146	46.4	SA2	1/24/2025		
106	28A	Green85	M	11/21/2024	C	4	13	13.25	Y	jugular	-80	12/10/2024	25	MELX_147	34.7	SA2	1/24/2025		
107	41	Green87	M	11/22/2024	B	2	13	12.92	Y	jugular	-80	12/10/2024	26	MELX_148	39.1	SA2	1/24/2025		
108	42	Pink78	M	11/22/2024	B	2	13	12.51	Y	jugular	-80	12/10/2024	26	MELX_149	32.2	SA2	1/24/2025		
109	43	Yellow26	M	11/22/2024	B	2	13	14	Y	jugular	-80	12/10/2024	26	MELX_150	44.0	SA2	1/24/2025		
110	44	Pink81	M	11/22/2024	B	2	13	13.38	Y	jugular	-80	12/10/2024	26	MELX_151	38.0	SA2	1/24/2025		
111	44A	Pink84	M	11/22/2024	B	2	13	12.71	Y	jugular	-80	12/10/2024	26	MELX_152	36.7	SA2	1/24/2025		
112	45	Pink73	F	11/22/2024	B	2	13	13.26	Y	jugular	-80	12/10/2024	27	MELX_153	52.8	SA2	1/24/2025		*dosed previously with 15mg/kg on 10/11
113	46	Purple162	F	11/22/2024	B	2	13	12.49	Y	jugular	-80	12/10/2024	27	MELX_154	39.6	SA2	1/24/2025		*dosed previously with 15mg/kg on 10/11
114	47	Tan108	F	11/22/2024	B	2	13	12.67	Y	jugular	-80	12/10/2024	27	MELX_155	46.2	SA2	1/24/2025		
115	48	Red200	F	11/22/2024	B	2	13	12.83	Y	jugular	-80	12/10/2024	27	MELX_156	28.9	SA2	1/24/2025		
116	48A	Yellow99	F	11/22/2024	B	2	13	13.08	Y	jugular	-80	12/10/2024	27	MELX_157	38.9	SA2	1/24/2025		
117	41	Green87	M	11/22/2024	B	24	13	12.92	Y	jugular	-80	12/10/2024	28	MELX_158	2.46	SA2	1/24/2025		** a duplicate blood sample included on another DBS card (see below)
118	42	Pink78	M	11/22/2024	B	24	13	12.51	Y	jugular	-80	12/10/2024	28	MELX_159	2.07	SA2	1/24/2025		
119	43	Yellow26	M	11/22/2024	B	24	13	14	Y	jugular	-80	12/10/2024	28	MELX_160	6.11	SA2	1/24/2025		
120	44	Pink81	M	11/22/2024	B	24	13	13.38	Y	jugular	-80	12/10/2024	28	MELX_161	13.3	SA2	1/24/2025		
121	44A	Pink84	M	11/22/2024	B	24	13	12.71	Y	jugular	-80	12/10/2024	28	MELX_162	3.11	SA2	1/24/2025		
123	45	Pink73	F	11/22/2024	B	24	13	13.26	Y	jugular	-80	12/10/2024	30	MELX_164	12.6	SA2	1/24/2025		*dosed previously with 15mg/kg on 10/11
124	46	Purple162	F	11/22/2024	B	24	13	12.49	Y	jugular	-80	12/10/2024	30	MELX_165	1.13	SA2	1/24/2025		*dosed previously with 15mg/kg on 10/11
125	47	Tan108	F	11/22/2024	B	24	13	12.67	Y	jugular	-80	12/10/2024	30	MELX_166	17.0	SA2	1/24/2025		
127	48A	Yellow99	F	11/22/2024	B	24	13	13.08	Y	jugular	-80	12/10/2024	30	MELX_168	0.882	SA2	1/24/2025		
1	13	Purple162	F	10/11/2024	A	1	15	14.46	Y	jugular	-80	12/10/2024	1	MELX_042	44.7	SA2	1/24/2025		
2	14	Gray80	F	10/11/2024	A	1	15	14.12	Y	jugular	-80	12/10/2024	1	MELX_043	46.9	SA2	1/24/2025		
3	15	Orange77	F	10/11/2024	A	1	15	14.97	Y	jugular	-80	12/10/2024	1	MELX_044	58.4	SA2	1/24/2025		
4	16	Pink73	F	10/11/2024	A	1	15	15.11	Y	jugular	-80	12/10/2024	1	MELX_045	39.0	SA2	1/24/2025		
5	16A	Black61	F	10/11/2024	A	1	15	14.59	Y	jugular	-80	12/10/2024	1	MELX_046	55.9	SA2	1/24/2025		
6	13	Purple162	F	10/11/2024	A	8	15	14.46	Y	jugular	-80	12/10/2024	2	MELX_047	11.1	SA2	1/24/2025		
7	14	Gray80	F	10/11/2024	A	8	15	14.12	Y	jugular	-80	12/10/2024	2	MELX_048	9.90	SA2	1/24/2025		
8	15	Orange77	F	10/11/2024	A	8	15	14.97	Y	jugular	-80	12/10/2024	2	MELX_049	36.7	SA2	1/24/2025		
9	16	Pink73	F	10/11/2024	A	8	15	15.11	Y	jugular	-80	12/10/2024	2	MELX_050	24.6	SA2	1/24/2025		
10	16A	Black61	F	10/11/2024	A	8	15	14.59	Y	jugular	-80	12/10/2024	2	MELX_051	13.0	SA2	1/24/2025		
11	17	Yellow73	M	10/18/2024	B	2	15	14.88	Y	jugular	-80	12/10/2024	3	MELX_052	52.8	SA2	1/24/2025		
12	18	Red163	M	10/18/2024	B	2	15	14.59	Y	jugular	-80	12/10/2024	3	MELX_053	38.3	SA2	1/24/2025		
13	19	Black13	M	10/18/2024	B	2	15	15.15	Y	jugular	-80	12/10/2024	3	MELX_054	34.3	SA2	1/24/2025		
14	20	Orange92	M	10/18/2024	B	2	15	14.74	Y	jugular	-80	12/10/2024	3	MELX_055	37.9	SA2	1/24/2025		
15	20A	Orange78	M	10/18/2024	B	2	15	16.02	Y	jugular	-80	12/10/2024	3	MELX_056	40.3	SA2	1/24/2025		
16	21	Royal Blue23	F	10/18/2024	B	2	15	15.33	Y	jugular	-80	12/10/2024	4	MELX_057	37.5	SA2	1/24/2025		
17	22	Light Blue28	F	10/18/2024	B	2	15	14.74	Y	jugular	-80	12/10/2024	4	MELX_058	34.9	SA2	1/24/2025		
18	23	Pink75	F	10/18/2024	B	2	15	15.36	Y	jugular	-80	12/10/2024	4	MELX_059	43.8	SA2	1/24/2025		
20	24A	Green75	F	10/18/2024	B	2	15	14.71	Y	jugular	-80	12/10/2024	4	MELX_061	42.1	SA2	1/24/2025		
21	17	Yellow73	M	10/19/2024	B	24	15	14.88	Y	jugular	-80	12/10/2024	5	MELX_062	12.9	SA2	1/24/2025		
22	18	Red163	M	10/19/2024	B	24	15	14.59	Y	jugular	-80	12/10/2024	5	MELX_063	5.93	SA2	1/24/2025		
23	19	Black13	M	10/19/2024	B	24	15	15.15	Y	jugular	-80	12/10/2024	5	MELX_064	0.596	SA2	1/24/2025		
24	20	Orange92	M	10/19/2024	B	24	15	14.74	Y	jugular	-80	12/10/2024	5	MELX_065	0.362	SA2	1/24/2025		
25	20A	Orange78	M	10/19/2024	B	24	15	16.02	Y	jugular	-80	12/10/2024	5	MELX_066	7.31	SA2	1/24/2025		
26	21	Royal Blue23	F	10/19/2024	B	24	15	15.33	Y	jugular	-80	12/10/2024	6	MELX_067	2.96	SA2	1/24/2025		
27	22	Light Blue28	F	10/19/2024	B	24	15	14.74	Y	jugular	-80	12/10/2024	6	MELX_068	4.32	SA2	1/24/2025		
28	23	Pink75	F	10/19/2024	B	24	15	15.36	Y	jugular	-80	12/10/2024	6	MELX_069	6.64	SA2	1/24/2025		
29	24	Black74	F	10/19/2024	B	24	15	15.94	Y	jugular	-80	12/10/2024	6	MELX_070	2.04	SA2	1/24/2025		
30	24A	Green75	F	10/19/2024	B	24	15	14.71	Y	jugular	-80	12/10/2024	6	MELX_071	5.78	SA2	1/24/2025		
31	9	Green88	M	10/20/2024	A	1	15	15.23	Y	jugular	-80	12/10/2024	7	MELX_072	43.2	SA2	1/24/2025		
32	10	Green50	M	10/20/2024	A	1	15	15.12	Y	jugular	-80	12/10/2024	7	MELX_073	63.6	SA2	1/24/2025		
33	11	Black34	M	10/20/2024	A	1	15	15.68	Y	jugular	-80	12/10/2024	7	MELX_074	67.0	SA2	1/24/2025		
34	12	Royal Blue58	M	10/20/2024	A	1	15	15.51	Y	jugular	-80	12/10/2024	7	MELX_075	41.3	SA2	1/24/2025		
35	12A	Tan29	M	10/20/2024	A	1	15	15.81	Y	jugular	-80	12/10/2024	7	MELX_076	51.4	SA2	1/24/2025		
36	9	Green88	M	10/20/2024	A	8	15	15.23	Y	jugular	-80	12/10/2024	8	MELX_077	20.8	SA2	1/24/2025		
37	10	Green50	M	10/20/2024	A	8	15	15.12	Y	jugular	-80	12/10/2024	8	MELX_078	40.7	SA2	1/24/2025		
38	11	Black34	M	10/20/2024	A	8	15	15.68	Y	jugular	-80	12/10/2024	8	MELX_079	33.4	SA2	1/24/2025		
39	12	Royal Blue58	M	10/20/2024	A	8	15	15.51	Y	jugular	-80	12/10/2024	8	MELX_080	4.65	SA2	1/24/2025		
40	12A	Tan29	M	10/20/2024	A	8	15	15.81	Y	jugular	-80	12/10/2024	8	MELX_081	27.5	SA2	1/24/2025		
41	5	Tan130	F	10/21/2024	C	0.5	15	14.63	Y	jugular	-80	12/10/2024	9	MELX_082	46.0	SA2	1/24/2025		
42	6	Tan128	F	10/21/2024	C	0.5	15	14.42	Y	jugular	-80	12/10/2024	9	MELX_083	54.0	SA2	1/24/2025		
43	7	Pink74	F	10/21/2024	C	0.5	15	14.72	Y	jugular	-80	12/10/2024	9	MELX_084	53.1	SA2	1/24/2025		
44	8	Orange79	F	10/21/2024	C	0.5	15	14.78	Y	jugular	-80	12/10/2024	9	MELX_085	45.9	SA2	1/24/2025		
45	8A	Pink76	F	10/21/2024	C	0.5	15	14.82	Y	jugular	-80	12/10/2024	9	MELX_086	61.1	SA2	1/24/2025		
46	5	Tan130	F	10/21/2024	C	4	15	14.63	Y	jugular	-80	12/10/2024	10	MELX_087	42.5	SA2	1/24/2025		
47	6	Tan128	F	10/21/2024	C	4	15	14.42	Y	jugular	-80	12/10/2024	10	MELX_088	39.6	SA2	1/24/2025		
48	7	Pink74	F	10/21/2024	C	4	15	14.72	Y	jugular	-80	12/10/2024	10	MELX_089	36.8	SA2	1/24/2025		
49	8	Orange79	F	10/21/2024	C	4	15	14.78	Y	jugular	-80	12/10/2024	10	MELX_090	22.0	SA2	1/24/2025		
50	8A	Pink76	F	10/21/2024	C	4	15	14.82	Y	jugular	-80	12/10/2024	10	MELX_091	46.8	SA2	1/24/2025		
74	1	Black75	M	11/8/2024	C	0.5	15	15.15	Y	jugular	-80	12/10/2024	17	MELX_115	40.3	SA2	1/24/2025		
75	2	Royal Blue57	M	11/8/2024	C	0.5	15	15.28	Y	jugular	-80	12/10/2024	17	MELX_116	43.0	SA2	1/24/2025		
76	3	Black49	M	11/8/2024	C	0.5	15	15.37	Y	jugular	-80	12/10/2024	17	MELX_117	31.8	SA2	1/24/2025		** a duplicate blood sample included on another DBS card (see below)
77	4	Black48	M	11/8/2024	C	0.5	15	15.4	Y	jugular	-80	12/10/2024	17	MELX_118	33.0	SA2	1/24/2025		
78	4A	Green84	M	11/8/2024	C	0.5	15	15.13	Y	jugular	-80	12/10/2024	17	MELX_119	27.4	SA2	1/24/2025		
80	1	Black75	M	11/8/2024	C	4	15	15.15	Y	jugular	-80	12/10/2024	19	MELX_121	37.7	SA2	1/24/2025		
81	2	Royal Blue57	M	11/8/2024	C	4	15	15.28	Y	jugular	-80	12/10/2024	19	MELX_122	41.9	SA2	1/24/2025		
82	3	Black49	M	11/8/2024	C	4	15	15.37	Y	jugular	-80	12/10/2024	19	MELX_123	31.7	SA2	1/24/2025		
83	4	Black48	M	11/8/2024	C	4	15	15.4	Y	jugular	-80	12/10/2024	19	MELX_124	33.3	SA2	1/24/2025		
84	4A	Green84	M	11/8/2024	C	4	15	15.13	Y	jugular	-80	12/10/2024	19	MELX_125	35.6	SA2	1/24/2025		
95	p76	Pink76	F	11/19/2024	B	2	15	15.19	Y	jugular	-80	12/10/2024	22	MELX_136	50.4	SA2	1/24/2025		*was previously dosed in Group C 15mg/kg on 10/21
96	p76	Pink76	F	11/20/2024	B	24	15	15.19	Y	jugular	-80	12/10/2024	23	MELX_137	26.8	SA2	1/24/2025		*was previously dosed in Group C 15mg/kg on 10/21
